Posición,Equipo,Puntos,Partidos Jugados,Victorias,Empates,Derrotas
1,Cruz Azul,42,17,13,3,1
2,Toluca,35,17,10,5,2
3,Tigres UANL,34,17,10,4,3
4,U.N.A.M. - Pumas,31,17,9,4,4
5,Monterrey,31,17,9,4,4
6,Atletico San Luis,30,17,9,3,5
7,Club Tijuana,29,17,8,5,4
8,Club America,27,17,8,3,6
9,Guadalajara Chivas,25,17,7,4,6
10,Atlas,22,17,5,7,5
11,Leon,18,17,3,9,5
12,FC Juarez,17,17,5,2,10
13,Necaxa,15,17,3,6,8
14,Mazatlán,14,17,2,8,7
15,Puebla,14,17,4,2,11
16,Pachuca,13,17,3,4,10
17,Club Queretaro,12,17,3,3,11
18,Santos Laguna,10,17,2,4,11
